"LPC","CPC","NDP","GPC","BQ","Leader","sample","date","firm","region"
44,34,11,3,6,"LPC +10",1045,2025-08-22,"Nanos Research","National"
39,41,7,2,7,"CPC +2",1915,2025-08-17,"Abacus Data","National"
44,32,12,3,5,"LPC +12",1050,2025-08-15,"Nanos Research","National"
45,32,12,3,6,"LPC +13",1094,2025-08-08,"Nanos Research","National"
44,35,11,3,6,"LPC +9",1000,2025-08-07,"Liaison Strategies","National"
43,40,8,2,6,"LPC +3",1686,2025-08-04,"Abacus Data","National"
46,36,6,3,7,"LPC +10",1617,2025-08-03,"Léger","National"
44,33,12,3,5,"LPC +11",1096,2025-08-01,"Nanos Research","National"
43,38,8,2,6,"LPC +5",1301,2025-07-31,"Pallas Data","National"
44,34,12,2,6,"LPC +10",1027,2025-07-25,"Nanos Research","National"
44,34,10,2,7,"LPC +10",1026,2025-07-18,"Nanos Research","National"
43,40,7,3,7,"LPC +3",1915,2025-07-13,"Abacus Data","National"
45,34,11,2,6,"LPC +11",1047,2025-07-11,"Nanos Research","National"
43,31,13,4,6,"LPC +12",1817,2025-07-11,"EKOS","National"
48,35,7,3,6,"LPC +13",1546,2025-07-05,"Léger","National"
45,33,12,2,6,"LPC +12",1056,2025-07-04,"Nanos Research","National"
47,37,6,2,6,"LPC +10",1001,2025-07-01,"Research Co.","National"
41,40,9,2,7,"LPC +1",1500,2025-06-29,"Abacus Data","National"
45,31,13,3,6,"LPC +14",1076,2025-06-27,"Nanos Research","National"
47,38,6,3,3,"LPC +9",1168,2025-06-26,"Mainstreet Research","National"
45,31,12,3,6,"LPC +14",1090,2025-06-20,"Nanos Research","National"
42,39,7,3,6,"LPC +3",1500,2025-06-18,"Abacus Data","National"
43,38,8,3,6,"LPC +5",4029,2025-06-18,"Innovative Research","National"
44,32,11,3,6,"LPC +12",1080,2025-06-13,"Nanos Research","National"
43,33,12,4,7,"LPC +10",1079,2025-06-06,"Nanos Research","National"
42,39,8,3,6,"LPC +3",2585,2025-06-04,"Abacus Data","National"
44,32,13,3,5,"LPC +12",1529,2025-06-01,"EKOS","National"
42,36,11,3,7,"LPC +6",1079,2025-05-30,"Nanos Research","National"
41,39,8,NA,7,"LPC +2",3450,2025-05-28,"Spark Advocacy","National"
40,39,10,4,6,"LPC +1",1081,2025-05-23,"Nanos Research","National"
41,40,8,3,7,"LPC +1",2273,2025-05-18,"Abacus Data","National"
42,39,8,3,6,"LPC +3",2517,2025-05-17,"Innovative Research","National"
41,40,9,4,5,"LPC +1",1127,2025-05-16,"Nanos Research","National"
42,41,8,3,5,"LPC +1",1139,2025-05-09,"Nanos Research","National"
42,39,8,3,6,"LPC +3",1297,2025-05-02,"Nanos Research","National"
44,41,6,1,6,"LPC +3",1502,2025-04-30,"Léger","National"
43.8,41.3,6.3,1.2,6.3,"LPC +2.5",19641663,2025-04-28,"General election","National"
54,31,11,2,NA,"LPC +23",1000,2025-11-08,"Liaison Strategies","ATL"
48,40,8,1,NA,"LPC +8",1916,2025-11-06,"Abacus Data","ATL"
50,38,7,3,NA,"LPC +12",2038,2025-11-06,"Angus Reid Institute","ATL"
53,31,10,2,NA,"LPC +22",1000,2025-11-02,"Liaison Strategies","ATL"
49,43,7,2,NA,"LPC +6",1126,2025-11-02,"EKOS","ATL"
46,34,3,15,NA,"LPC +12",1585,2025-11-01,"Léger","ATL"
45,40,11,3,NA,"LPC +5",2922,2025-10-27,"Abacus Data","ATL"
61,19,14,4,NA,"LPC +42",1199,2025-10-23,"EKOS","ATL"
53,36,8,1,NA,"LPC +17",4106,2025-10-17,"Innovative Research","ATL"
56,30,9,5,NA,"LPC +26",1206,2025-10-14,"Pallas Data","ATL"
54,38,5,3,NA,"LPC +16",4501,2025-10-12,"Abacus Data","ATL"
49,33,9,7,NA,"LPC +16",1562,2025-10-04,"Léger","ATL"
47,41,6,2,NA,"LPC +6",1504,2025-09-29,"Abacus Data","ATL"
53,36,9,2,NA,"LPC +17",1570,2025-09-21,"Angus Reid Institute","ATL"
48,34,9,3,NA,"LPC +14",1000,2025-09-20,"Liaison Strategies","ATL"
60,31,4,2,NA,"LPC +29",2230,2025-09-15,"Abacus Data","ATL"
39,37,21,1,NA,"LPC +2",1003,2025-09-11,"Research Co.","ATL"
60,29,9,0,NA,"LPC +31",1614,2025-09-09,"EKOS","ATL"
58,29,9,2,NA,"LPC +29",1001,2025-09-07,"Ipsos","ATL"
70,23,6,0,NA,"LPC +47",1592,2025-09-06,"Léger","ATL"
51,38,8,2,NA,"LPC +13",3656,2025-09-02,"Angus Reid Institute","ATL"
54,36,3,2,NA,"LPC +18",1500,2025-08-31,"Abacus Data","ATL"
52,38,10,0,NA,"LPC +14",1008,2025-08-30,"Mainstreet Research","ATL"
59,23,10,3,NA,"LPC +36",1000,2025-08-26,"Liaison Strategies","ATL"
44,42,10,0,NA,"LPC +2",1915,2025-08-17,"Abacus Data","ATL"
55,25,10,5,NA,"LPC +30",1000,2025-08-07,"Liaison Strategies","ATL"
50,42,4,1,NA,"LPC +8",1686,2025-08-04,"Abacus Data","ATL"
68,26,3,1,NA,"LPC +42",1617,2025-08-03,"Léger","ATL"
67,29,2,1,NA,"LPC +38",1301,2025-07-31,"Pallas Data","ATL"
55,38,3,2,NA,"LPC +17",1915,2025-07-13,"Abacus Data","ATL"
54,23,17,3,NA,"LPC +31",1817,2025-07-11,"EKOS","ATL"
63,33,4,0,NA,"LPC +30",1546,2025-07-05,"Léger","ATL"
57,38,2,3,NA,"LPC +19",1001,2025-07-01,"Research Co.","ATL"
47,37,12,3,NA,"LPC +10",1500,2025-06-29,"Abacus Data","ATL"
48,38,6,8,NA,"LPC +10",1500,2025-06-18,"Abacus Data","ATL"
54,35,7,2,NA,"LPC +19",4029,2025-06-18,"Innovative Research","ATL"
56,33,6,3,NA,"LPC +23",2585,2025-06-04,"Abacus Data","ATL"
58,33,7,NA,NA,"LPC +25",3450,2025-05-28,"Spark Advocacy","ATL"
51,37,9,2,NA,"LPC +14",2273,2025-05-18,"Abacus Data","ATL"
53,40,4,1,NA,"LPC +13",2517,2025-05-17,"Innovative Research","ATL"
55,38,4,1,NA,"LPC +17",1502,2025-04-30,"Léger","ATL"
39,25,5,NA,28,"LPC +11",1031,2025-11-09,"Léger","QC"
42,25,8,NA,24,"LPC +17",1000,2025-11-08,"Liaison Strategies","QC"
39,24,5,NA,30,"LPC +9",1916,2025-11-06,"Abacus Data","QC"
36,19,6,NA,36,"Tie",2038,2025-11-06,"Angus Reid Institute","QC"
44,24,7,NA,22,"LPC +20",1000,2025-11-02,"Liaison Strategies","QC"
39,27,2,NA,26,"LPC +12",1126,2025-11-02,"EKOS","QC"
40,20,4,NA,32,"LPC +8",1585,2025-11-01,"Léger","QC"
40,25,2,NA,27,"LPC +13",2922,2025-10-27,"Abacus Data","QC"
38,24,9,NA,26,"LPC +12",1199,2025-10-23,"EKOS","QC"
40,22,4,NA,30,"LPC +10",4106,2025-10-17,"Innovative Research","QC"
40,23,6,NA,26,"LPC +14",1206,2025-10-14,"Pallas Data","QC"
36,23,4,NA,33,"LPC +3",4501,2025-10-12,"Abacus Data","QC"
38,23,2,NA,32,"LPC +6",1562,2025-10-04,"Léger","QC"
37,26,1,NA,30,"LPC +7",1504,2025-09-29,"Abacus Data","QC"
35,24,5,NA,33,"LPC +2",1570,2025-09-21,"Angus Reid Institute","QC"
43,26,6,NA,23,"LPC +17",1000,2025-09-20,"Liaison Strategies","QC"
36,21,7,NA,29,"LPC +7",2230,2025-09-15,"Abacus Data","QC"
42,21,4,NA,30,"LPC +12",1053,2025-09-14,"Léger","QC"
43,23,4,NA,28,"LPC +15",1003,2025-09-11,"Research Co.","QC"
42,19,9,NA,24,"LPC +18",1614,2025-09-09,"EKOS","QC"
41,23,1,NA,32,"LPC +9",1001,2025-09-07,"Ipsos","QC"
42,26,4,NA,26,"LPC +16",1592,2025-09-06,"Léger","QC"
37,21,7,NA,32,"LPC +5",3656,2025-09-02,"Angus Reid Institute","QC"
41,24,2,NA,30,"LPC +11",1500,2025-08-31,"Abacus Data","QC"
41,23,3,NA,27,"LPC +14",1008,2025-08-30,"Mainstreet Research","QC"
47,22,6,NA,23,"LPC +24",1000,2025-08-26,"Liaison Strategies","QC"
43,22,5,NA,28,"LPC +15",977,2025-08-17,"Léger","QC"
40,21,2,NA,36,"LPC +4",1915,2025-08-17,"Abacus Data","QC"
47,19,7,NA,25,"LPC +22",1000,2025-08-07,"Liaison Strategies","QC"
44,23,6,NA,25,"LPC +19",1686,2025-08-04,"Abacus Data","QC"
39,21,4,NA,31,"LPC +8",1617,2025-08-03,"Léger","QC"
42,20,7,NA,27,"LPC +15",1301,2025-07-31,"Pallas Data","QC"
44,22,3,NA,28,"LPC +16",1915,2025-07-13,"Abacus Data","QC"
42,20,8,NA,23,"LPC +19",1817,2025-07-11,"EKOS","QC"
44,22,4,NA,26,"LPC +18",1546,2025-07-05,"Léger","QC"
46,21,8,NA,19,"LPC +25",1001,2025-07-01,"Research Co.","QC"
42,19,4,NA,31,"LPC +11",1500,2025-06-29,"Abacus Data","QC"
44,23,5,NA,25,"LPC +19",1065,2025-06-21,"Léger","QC"
38,24,5,NA,28,"LPC +10",1500,2025-06-18,"Abacus Data","QC"
44,20,4,NA,28,"LPC +16",4029,2025-06-18,"Innovative Research","QC"
42,22,3,NA,29,"LPC +13",2585,2025-06-04,"Abacus Data","QC"
38,21,3,NA,31,"LPC +7",3450,2025-05-28,"Spark Advocacy","QC"
38,24,3,NA,31,"LPC +7",2273,2025-05-18,"Abacus Data","QC"
41,24,7,NA,26,"LPC +15",2517,2025-05-17,"Innovative Research","QC"
43,23,5,NA,28,"LPC +15",1502,2025-04-30,"Léger","QC"
49,35,10,3,NA,"LPC +14",1000,2025-11-08,"Liaison Strategies","ON"
44,43,8,3,NA,"LPC +1",1916,2025-11-06,"Abacus Data","ON"
46,39,9,4,NA,"LPC +7",2038,2025-11-06,"Angus Reid Institute","ON"
43,38,12,3,NA,"LPC +5",1000,2025-11-02,"Liaison Strategies","ON"
46,38,10,3,NA,"LPC +8",1126,2025-11-02,"EKOS","ON"
48,42,6,3,NA,"LPC +6",1585,2025-11-01,"Léger","ON"
44,44,8,3,NA,"Tie",2922,2025-10-27,"Abacus Data","ON"
49,33,12,3,NA,"LPC +16",1199,2025-10-23,"EKOS","ON"
43,43,9,4,NA,"Tie",4106,2025-10-17,"Innovative Research","ON"
45,38,11,4,NA,"LPC +7",1206,2025-10-14,"Pallas Data","ON"
44,43,8,3,NA,"LPC +1",4501,2025-10-12,"Abacus Data","ON"
48,39,9,3,NA,"LPC +9",1562,2025-10-04,"Léger","ON"
45,42,7,3,NA,"LPC +3",1504,2025-09-29,"Abacus Data","ON"
44,42,10,3,NA,"LPC +2",1570,2025-09-21,"Angus Reid Institute","ON"
47,38,10,2,NA,"LPC +9",1000,2025-09-20,"Liaison Strategies","ON"
45,43,6,3,NA,"LPC +2",2230,2025-09-15,"Abacus Data","ON"
48,41,6,2,NA,"LPC +7",958,2025-09-13,"Mainstreet Research","ON"
48,39,7,4,NA,"LPC +9",1003,2025-09-11,"Research Co.","ON"
48,34,12,4,NA,"LPC +14",1614,2025-09-09,"EKOS","ON"
46,42,5,3,NA,"LPC +4",1001,2025-09-07,"Ipsos","ON"
49,42,6,3,NA,"LPC +7",1592,2025-09-06,"Léger","ON"
43,43,10,3,NA,"Tie",3656,2025-09-02,"Angus Reid Institute","ON"
47,43,5,2,NA,"LPC +4",1500,2025-08-31,"Abacus Data","ON"
46,38,9,2,NA,"LPC +8",1008,2025-08-30,"Mainstreet Research","ON"
47,36,11,3,NA,"LPC +11",1000,2025-08-26,"Liaison Strategies","ON"
46,44,8,2,NA,"LPC +2",1915,2025-08-17,"Abacus Data","ON"
47,36,12,3,NA,"LPC +11",1000,2025-08-07,"Liaison Strategies","ON"
48,41,7,3,NA,"LPC +7",1686,2025-08-04,"Abacus Data","ON"
52,39,5,3,NA,"LPC +13",1617,2025-08-03,"Léger","ON"
47,41,6,2,NA,"LPC +6",1301,2025-07-31,"Pallas Data","ON"
46,43,7,3,NA,"LPC +3",1915,2025-07-13,"Abacus Data","ON"
50,30,12,4,NA,"LPC +20",1817,2025-07-11,"EKOS","ON"
53,37,5,3,NA,"LPC +16",1546,2025-07-05,"Léger","ON"
53,41,4,1,NA,"LPC +12",1001,2025-07-01,"Research Co.","ON"
44,43,8,3,NA,"LPC +1",1500,2025-06-29,"Abacus Data","ON"
48,41,6,2,NA,"LPC +7",1500,2025-06-18,"Abacus Data","ON"
46,41,8,3,NA,"LPC +5",4029,2025-06-18,"Innovative Research","ON"
47,41,7,2,NA,"LPC +6",2585,2025-06-04,"Abacus Data","ON"
45,43,7,NA,NA,"LPC +2",3450,2025-05-28,"Spark Advocacy","ON"
54,37,5,3,NA,"LPC +17",1025,2025-05-24,"Léger","ON"
47,41,7,2,NA,"LPC +6",2273,2025-05-18,"Abacus Data","ON"
47,40,8,3,NA,"LPC +7",2517,2025-05-17,"Innovative Research","ON"
49,44,5,1,NA,"LPC +5",1502,2025-04-30,"Léger","ON"
32,52,11,2,NA,"CPC +20",1000,2025-11-08,"Liaison Strategies","MB/SK"
33,54,10,2,NA,"CPC +21",1916,2025-11-06,"Abacus Data","MB/SK"
31,56,12,1,NA,"CPC +25",2038,2025-11-06,"Angus Reid Institute","MB/SK"
29,53,14,0,NA,"CPC +24",1000,2025-11-02,"Liaison Strategies","MB/SK"
43,33,17,6,NA,"LPC +10",1126,2025-11-02,"EKOS","MB/SK"
35,48,9,3,NA,"CPC +13",1585,2025-11-01,"Léger","MB/SK"
31,54,9,3,NA,"CPC +23",2922,2025-10-27,"Abacus Data","MB/SK"
35,39,17,1,NA,"CPC +4",1199,2025-10-23,"EKOS","MB/SK"
31,51,14,2,NA,"CPC +20",4106,2025-10-17,"Innovative Research","MB/SK"
32,48,15,1,NA,"CPC +16",1206,2025-10-14,"Pallas Data","MB/SK"
34,51,12,1,NA,"CPC +17",4501,2025-10-12,"Abacus Data","MB/SK"
33,56,7,2,NA,"CPC +23",1562,2025-10-04,"Léger","MB/SK"
32,53,7,7,NA,"CPC +21",1504,2025-09-29,"Abacus Data","MB/SK"
28,57,14,1,NA,"CPC +29",1570,2025-09-21,"Angus Reid Institute","MB/SK"
31,48,12,5,NA,"CPC +17",1000,2025-09-20,"Liaison Strategies","MB/SK"
31,55,9,4,NA,"CPC +24",2230,2025-09-15,"Abacus Data","MB/SK"
34,55,7,1,NA,"CPC +21",1003,2025-09-11,"Research Co.","MB/SK"
39,43,14,1,NA,"CPC +4",1614,2025-09-09,"EKOS","MB/SK"
33,50,16,0,NA,"CPC +17",1001,2025-09-07,"Ipsos","MB/SK"
39,47,9,2,NA,"CPC +8",1592,2025-09-06,"Léger","MB/SK"
29,57,13,1,NA,"CPC +28",3656,2025-09-02,"Angus Reid Institute","MB/SK"
39,50,10,1,NA,"CPC +11",1500,2025-08-31,"Abacus Data","MB/SK"
32,58,7,0,NA,"CPC +26",1008,2025-08-30,"Mainstreet Research","MB/SK"
31,48,12,5,NA,"CPC +17",1000,2025-08-26,"Liaison Strategies","MB/SK"
35,52,9,3,NA,"CPC +17",1915,2025-08-17,"Abacus Data","MB/SK"
32,49,13,5,NA,"CPC +17",1000,2025-08-07,"Liaison Strategies","MB/SK"
34,52,13,0,NA,"CPC +18",1686,2025-08-04,"Abacus Data","MB/SK"
35,49,11,4,NA,"CPC +14",1617,2025-08-03,"Léger","MB/SK"
35,55,10,0,NA,"CPC +20",1301,2025-07-31,"Pallas Data","MB/SK"
33,52,11,2,NA,"CPC +19",1915,2025-07-13,"Abacus Data","MB/SK"
33,39,21,1,NA,"CPC +6",1817,2025-07-11,"EKOS","MB/SK"
35,49,10,5,NA,"CPC +14",1546,2025-07-05,"Léger","MB/SK"
42,48,3,2,NA,"CPC +6",1001,2025-07-01,"Research Co.","MB/SK"
33,54,11,1,NA,"CPC +21",1500,2025-06-29,"Abacus Data","MB/SK"
39,45,13,2,NA,"CPC +6",1500,2025-06-18,"Abacus Data","MB/SK"
36,49,10,3,NA,"CPC +13",4029,2025-06-18,"Innovative Research","MB/SK"
31,54,13,1,NA,"CPC +23",2585,2025-06-04,"Abacus Data","MB/SK"
36,48,14,NA,NA,"CPC +12",3450,2025-05-28,"Spark Advocacy","MB/SK"
27,53,16,3,NA,"CPC +26",2273,2025-05-18,"Abacus Data","MB/SK"
28,49,14,5,NA,"CPC +21",2517,2025-05-17,"Innovative Research","MB/SK"
35,56,10,0,NA,"CPC +21",1502,2025-04-30,"Léger","MB/SK"
31,55,9,0,NA,"CPC +24",1000,2025-11-08,"Liaison Strategies","AB"
26,61,11,0,NA,"CPC +35",1916,2025-11-06,"Abacus Data","AB"
30,59,9,1,NA,"CPC +29",2038,2025-11-06,"Angus Reid Institute","AB"
28,60,10,1,NA,"CPC +32",1000,2025-11-02,"Liaison Strategies","AB"
37,51,9,1,NA,"CPC +14",1126,2025-11-02,"EKOS","AB"
34,54,8,2,NA,"CPC +20",1585,2025-11-01,"Léger","AB"
25,62,12,0,NA,"CPC +37",2922,2025-10-27,"Abacus Data","AB"
30,50,12,0,NA,"CPC +20",1199,2025-10-23,"EKOS","AB"
33,55,8,0,NA,"CPC +22",4106,2025-10-17,"Innovative Research","AB"
23,56,14,0,NA,"CPC +33",1206,2025-10-14,"Pallas Data","AB"
27,61,9,1,NA,"CPC +34",4501,2025-10-12,"Abacus Data","AB"
31,63,4,0,NA,"CPC +32",1562,2025-10-04,"Léger","AB"
25,57,11,1,NA,"CPC +32",1504,2025-09-29,"Abacus Data","AB"
21,65,11,0,NA,"CPC +44",1570,2025-09-21,"Angus Reid Institute","AB"
34,51,10,1,NA,"CPC +17",1000,2025-09-20,"Liaison Strategies","AB"
28,60,9,1,NA,"CPC +32",2230,2025-09-15,"Abacus Data","AB"
32,56,9,1,NA,"CPC +24",1003,2025-09-11,"Research Co.","AB"
27,56,8,2,NA,"CPC +29",1614,2025-09-09,"EKOS","AB"
29,61,8,0,NA,"CPC +32",1001,2025-09-07,"Ipsos","AB"
39,49,5,2,NA,"CPC +10",1592,2025-09-06,"Léger","AB"
25,62,10,1,NA,"CPC +37",3656,2025-09-02,"Angus Reid Institute","AB"
29,58,10,1,NA,"CPC +29",1500,2025-08-31,"Abacus Data","AB"
25,59,13,0,NA,"CPC +34",1008,2025-08-30,"Mainstreet Research","AB"
32,53,9,1,NA,"CPC +21",1000,2025-08-26,"Liaison Strategies","AB"
26,62,8,2,NA,"CPC +36",1915,2025-08-17,"Abacus Data","AB"
27,59,8,2,NA,"CPC +32",1000,2025-08-07,"Liaison Strategies","AB"
27,62,8,1,NA,"CPC +35",1686,2025-08-04,"Abacus Data","AB"
33,53,8,5,NA,"CPC +20",1617,2025-08-03,"Léger","AB"
21,64,9,1,NA,"CPC +43",1301,2025-07-31,"Pallas Data","AB"
29,58,8,1,NA,"CPC +29",1915,2025-07-13,"Abacus Data","AB"
36,48,9,2,NA,"CPC +12",1817,2025-07-11,"EKOS","AB"
39,48,8,3,NA,"CPC +9",1546,2025-07-05,"Léger","AB"
36,53,7,2,NA,"CPC +17",1001,2025-07-01,"Research Co.","AB"
27,60,10,0,NA,"CPC +33",1500,2025-06-29,"Abacus Data","AB"
24,65,6,2,NA,"CPC +41",1500,2025-06-18,"Abacus Data","AB"
26,59,10,3,NA,"CPC +33",4029,2025-06-18,"Innovative Research","AB"
26,63,10,0,NA,"CPC +37",2585,2025-06-04,"Abacus Data","AB"
28,62,7,NA,NA,"CPC +34",3450,2025-05-28,"Spark Advocacy","AB"
27,62,9,0,NA,"CPC +35",2273,2025-05-18,"Abacus Data","AB"
24,62,8,2,NA,"CPC +38",2517,2025-05-17,"Innovative Research","AB"
28,64,6,2,NA,"CPC +36",1502,2025-04-30,"Léger","AB"
46,36,13,2,NA,"LPC +10",1000,2025-11-08,"Liaison Strategies","BC"
42,42,11,4,NA,"Tie",1916,2025-11-06,"Abacus Data","BC"
38,40,17,3,NA,"CPC +2",2038,2025-11-06,"Angus Reid Institute","BC"
43,38,15,1,NA,"LPC +5",1000,2025-11-02,"Liaison Strategies","BC"
47,33,6,12,NA,"LPC +14",1126,2025-11-02,"EKOS","BC"
44,38,11,7,NA,"LPC +6",1585,2025-11-01,"Léger","BC"
40,41,13,4,NA,"CPC +1",2922,2025-10-27,"Abacus Data","BC"
44,34,15,5,NA,"LPC +10",1199,2025-10-23,"EKOS","BC"
37,42,15,5,NA,"CPC +5",4106,2025-10-17,"Innovative Research","BC"
46,38,15,0,NA,"LPC +8",1206,2025-10-14,"Pallas Data","BC"
40,42,12,5,NA,"CPC +2",4501,2025-10-12,"Abacus Data","BC"
56,31,8,4,NA,"LPC +25",1562,2025-10-04,"Léger","BC"
41,41,15,2,NA,"Tie",1504,2025-09-29,"Abacus Data","BC"
36,42,16,4,NA,"CPC +6",1570,2025-09-21,"Angus Reid Institute","BC"
41,38,16,2,NA,"LPC +3",1000,2025-09-20,"Liaison Strategies","BC"
37,43,14,5,NA,"CPC +6",2230,2025-09-15,"Abacus Data","BC"
49,36,10,2,NA,"LPC +13",1003,2025-09-11,"Research Co.","BC"
33,36,25,4,NA,"CPC +3",1614,2025-09-09,"EKOS","BC"
44,41,13,2,NA,"LPC +3",1001,2025-09-07,"Ipsos","BC"
53,39,7,0,NA,"LPC +14",1592,2025-09-06,"Léger","BC"
38,41,15,3,NA,"CPC +3",3656,2025-09-02,"Angus Reid Institute","BC"
39,42,13,5,NA,"CPC +3",1500,2025-08-31,"Abacus Data","BC"
49,43,8,1,NA,"LPC +6",1008,2025-08-30,"Mainstreet Research","BC"
41,38,16,3,NA,"LPC +3",1000,2025-08-26,"Liaison Strategies","BC"
42,43,12,3,NA,"CPC +1",1915,2025-08-17,"Abacus Data","BC"
42,37,17,4,NA,"LPC +5",1000,2025-08-07,"Liaison Strategies","BC"
39,39,16,3,NA,"Tie",1686,2025-08-04,"Abacus Data","BC"
50,39,8,2,NA,"LPC +11",1617,2025-08-03,"Léger","BC"
46,33,13,7,NA,"LPC +13",1301,2025-07-31,"Pallas Data","BC"
40,39,14,6,NA,"LPC +1",1915,2025-07-13,"Abacus Data","BC"
33,36,21,6,NA,"CPC +3",1817,2025-07-11,"EKOS","BC"
46,37,11,3,NA,"LPC +9",1546,2025-07-05,"Léger","BC"
52,37,7,5,NA,"LPC +15",1001,2025-07-01,"Research Co.","BC"
39,41,14,5,NA,"CPC +2",1500,2025-06-29,"Abacus Data","BC"
45,36,12,5,NA,"LPC +9",1500,2025-06-18,"Abacus Data","BC"
41,40,13,5,NA,"LPC +1",4029,2025-06-18,"Innovative Research","BC"
39,38,15,5,NA,"LPC +1",2585,2025-06-04,"Abacus Data","BC"
39,40,15,NA,NA,"CPC +1",3450,2025-05-28,"Spark Advocacy","BC"
41,39,15,5,NA,"LPC +2",2273,2025-05-18,"Abacus Data","BC"
42,38,12,6,NA,"LPC +4",2517,2025-05-17,"Innovative Research","BC"
42,41,13,1,NA,"LPC +1",1502,2025-04-30,"Léger","BC"
